Id,Climate file,X-coord,Y-coord,field_id,sowing_day,nfertilizer,irrigation,Sow_Y,Sow_M,Sow_D,Column1,crop_json
1,daily_mean_RES1_C505R406.txt,13.10070176,51.3358849,2,274,0,0,2019,9,28,,data/crops/2_2019.json
2,daily_mean_RES1_C505R406.txt,13.10070176,51.3358849,2,274,0,0,2016,10,1,,data/crops/2_2016.json
3,daily_mean_RES1_C404R218.txt,11.75081,53.06243,3,274,0,0,2018,9,19,,data/crops/3_2018.json
4,daily_mean_RES1_C353R620.txt,10.839829,49.471273,4,274,0,0,2018,10,7,,data/crops/4_2018.json
5,daily_mean_RES1_C438R660.txt,12.002205,49.082415,5,274,0,0,2018,10,11,,data/crops/5_2018.json
6,daily_mean_RES1_C551R242.txt,13.921776,52.775553,8,274,0,0,2018,9,27,,data/crops/8_2018.json
7,daily_mean_RES1_C514R356.txt,13.279261,51.779996,10,274,0,0,2016,10,1,,data/crops/10_2016.json
8,daily_mean_RES1_C454R119.txt,12.58304,53.932112,12,274,0,0,2017,9,20,,data/crops/12_2017.json
9,daily_mean_RES1_C498R137.txt,13.227606,53.753681,15,274,0,0,2019,9,29,,data/crops/15_2019.json
10,daily_mean_RES1_C498R137.txt,13.227606,53.753681,15,274,0,0,2016,9,21,,data/crops/15_2016.json
11,daily_mean_RES1_C460R303.txt,12.53627,52.28051,16,274,0,0,2019,10,11,,data/crops/16_2019.json
12,daily_mean_RES1_C460R303.txt,12.53627,52.28051,16,274,0,0,2017,10,6,,data/crops/16_2017.json
13,daily_mean_RES1_C203R255.txt,8.7646,52.7674,18,274,0,0,2018,10,13,,data/crops/18_2018.json
14,daily_mean_RES1_C202R255.txt,8.7526,52.767,19,274,0,0,2019,10,15,,data/crops/19_2019.json
15,daily_mean_RES1_C97R652.txt,7.32528,49.18456,22,274,0,0,2018,10,13,,data/crops/22_2018.json
16,daily_mean_RES1_C97R652.txt,7.32528,49.18456,22,274,0,0,2016,10,12,,data/crops/22_2016.json
17,daily_mean_RES1_C364R212.txt,11.15714522,53.12736014,23,274,0,0,2019,10,5,,data/crops/23_2019.json
18,daily_mean_RES1_C364R212.txt,11.15714522,53.12736014,23,274,0,0,2016,10,2,,data/crops/23_2016.json
19,daily_mean_RES1_C363R212.txt,11.1480841,53.13451109,24,274,0,0,2019,10,5,,data/crops/24_2019.json
20,daily_mean_RES1_C363R212.txt,11.1480841,53.13451109,24,274,0,0,2018,10,5,,data/crops/24_2018.json
21,daily_mean_RES1_C324R144.txt,10.589314,53.753271,25,274,0,0,2019,10,3,,data/crops/25_2019.json
22,daily_mean_RES1_C411R385.txt,11.77021,51.56218,27,274,0,0,2017,9,27,,data/crops/27_2017.json
23,daily_mean_RES1_C413R386.txt,11.79681,51.55199,28,274,0,0,2018,10,5,,data/crops/28_2018.json
24,daily_mean_RES1_C413R386.txt,11.79681,51.55199,28,274,0,0,2017,9,30,,data/crops/28_2017.json
25,daily_mean_RES1_C311R534.txt,10.290973,50.25119,30,274,0,0,2017,10,2,,data/crops/30_2017.json
26,daily_mean_RES1_C60R445.txt,6.732818,51.036809,40,274,0,0,2019,10,18,,data/crops/40_2019.json
27,daily_mean_RES1_C506R155.txt,13.32582192,53.58930297,41,274,0,0,2019,9,22,,data/crops/41_2019.json
28,daily_mean_RES1_C564R285.txt,14.059798,52.388151,43,274,0,0,2018,10,8,,data/crops/43_2018.json
29,daily_mean_RES1_C563R277.txt,14.054079,52.45801,44,274,0,0,2018,10,3,,data/crops/44_2018.json
30,daily_mean_RES1_C426R107.txt,12.1598719,54.05211276,45,274,0,0,2017,9,20,,data/crops/45_2017.json
31,daily_mean_RES1_C228R235.txt,9.132432,52.9412727,46,274,0,0,2019,10,21,,data/crops/46_2019.json
32,daily_mean_RES1_C228R235.txt,9.132432,52.9412727,46,274,0,0,2018,10,8,,data/crops/46_2018.json
33,daily_mean_RES1_C228R235.txt,9.132432,52.9412727,46,274,0,0,2017,10,13,,data/crops/46_2017.json
34,daily_mean_RES1_C157R525.txt,8.13189,50.33433,55,274,0,0,2020,10,8,,data/crops/55_2020.json
35,daily_mean_RES1_C157R525.txt,8.13189,50.33433,55,274,0,0,2016,10,18,,data/crops/55_2016.json
36,daily_mean_RES1_C426R511.txt,11.90896996,50.42544752,56,274,0,0,2020,9,25,,data/crops/56_2020.json
37,daily_mean_RES1_C426R511.txt,11.90896996,50.42544752,56,274,0,0,2016,9,25,,data/crops/56_2016.json
38,daily_mean_RES1_C423R510.txt,11.86338449,50.43329333,57,274,0,0,2016,10,1,,data/crops/57_2016.json
39,daily_mean_RES1_C424R509.txt,11.8874782,50.44570516,58,274,0,0,2018,9,25,,data/crops/58_2018.json
40,daily_mean_RES1_C421R514.txt,11.83976202,50.39896648,60,274,0,0,2019,10,2,,data/crops/60_2019.json
41,daily_mean_RES1_C416R512.txt,11.7659617,50.42451337,61,274,0,0,2018,10,1,,data/crops/61_2018.json
42,daily_mean_RES1_C417R510.txt,11.78126274,50.44258089,62,274,0,0,2017,10,8,,data/crops/62_2017.json
43,daily_mean_RES1_C417R509.txt,11.78018012,50.44639579,63,274,0,0,2017,10,8,,data/crops/63_2017.json
44,daily_mean_RES1_C415R509.txt,11.76408515,50.44786652,64,274,0,0,2020,10,8,,data/crops/64_2020.json
45,daily_mean_RES1_C415R509.txt,11.76408515,50.44786652,64,274,0,0,2017,10,8,,data/crops/64_2017.json
46,daily_mean_RES1_C413R513.txt,11.7319047,50.41120154,65,274,0,0,2017,10,8,,data/crops/65_2017.json
47,daily_mean_RES1_C360R475.txt,10.99276978,50.76675109,66,274,0,0,2019,10,5,,data/crops/66_2019.json
48,daily_mean_RES1_C307R444.txt,10.25867584,51.0550943,67,274,0,0,2019,10,4,,data/crops/67_2019.json
49,daily_mean_RES1_C307R444.txt,10.25867584,51.0550943,67,274,0,0,2018,9,28,,data/crops/67_2018.json
50,daily_mean_RES1_C307R444.txt,10.25867584,51.0550943,67,274,0,0,2017,10,4,,data/crops/67_2017.json
51,daily_mean_RES1_C442R203.txt,12.33156,53.185907,72,274,0,0,2018,10,1,,data/crops/72_2018.json
52,daily_mean_RES1_C446R201.txt,12.395452,53.199833,102,274,0,0,2019,10,11,,data/crops/102_2019.json
53,daily_mean_RES1_C60R445.txt,6.73079,51.03552,133,274,0,0,2020,10,15,,data/crops/133_2020.json
54,daily_mean_RES1_C60R445.txt,6.73079,51.03552,133,274,0,0,2017,10,15,,data/crops/133_2017.json
55,daily_mean_RES1_C486R333.txt,12.89084527,51.99828897,134,274,0,0,2018,10,3,,data/crops/134_2018.json
56,daily_mean_RES1_C486R333.txt,12.89084527,51.99828897,134,274,0,0,2016,9,30,,data/crops/134_2016.json
57,daily_mean_RES1_C484R333.txt,12.86172828,51.99569264,135,274,0,0,2018,10,3,,data/crops/135_2018.json
58,daily_mean_RES1_C484R333.txt,12.86172828,51.99569264,135,274,0,0,2016,9,29,,data/crops/135_2016.json
59,daily_mean_RES1_C483R335.txt,12.83844773,51.98617372,137,274,0,0,2017,10,2,,data/crops/137_2017.json
60,daily_mean_RES1_C483R335.txt,12.83562961,51.9840288,138,274,0,0,2017,10,2,,data/crops/138_2017.json
61,daily_mean_RES1_C483R336.txt,12.84334533,51.97721383,139,274,0,0,2018,10,3,,data/crops/139_2018.json
62,daily_mean_RES1_C483R336.txt,12.84334533,51.97721383,139,274,0,0,2016,9,28,,data/crops/139_2016.json
63,daily_mean_RES1_C485R337.txt,12.87224106,51.96125495,140,274,0,0,2018,10,3,,data/crops/140_2018.json
64,daily_mean_RES1_C485R337.txt,12.87224106,51.96125495,140,274,0,0,2016,9,29,,data/crops/140_2016.json
65,daily_mean_RES1_C488R339.txt,12.90693137,51.94785999,141,274,0,0,2018,10,3,,data/crops/141_2018.json
66,daily_mean_RES1_C488R339.txt,12.90693137,51.94785999,141,274,0,0,2016,9,29,,data/crops/141_2016.json
67,daily_mean_RES1_C487R334.txt,12.90178679,51.98939671,142,274,0,0,2017,10,1,,data/crops/142_2017.json
68,daily_mean_RES1_C488R334.txt,12.9108196,51.98757244,143,274,0,0,2018,10,3,,data/crops/143_2018.json
69,daily_mean_RES1_C486R335.txt,12.88735672,51.98216122,144,274,0,0,2017,10,2,,data/crops/144_2017.json
70,daily_mean_RES1_C187R226.txt,8.515850316,53.02665816,474,274,0,0,2018,11,2,,data/crops/474_2018.json
71,daily_mean_RES1_C185R232.txt,8.498544521,52.97461601,475,274,0,0,2019,10,27,,data/crops/475_2019.json
72,daily_mean_RES1_C185R232.txt,8.498544521,52.97461601,475,274,0,0,2016,10,23,,data/crops/475_2016.json
73,daily_mean_RES1_C332R344.txt,10.64631926,51.95598727,488,274,0,0,2020,10,5,,data/crops/488_2020.json
74,daily_mean_RES1_C332R343.txt,10.64113388,51.9595686,489,274,0,0,2020,10,5,,data/crops/489_2020.json
75,daily_mean_RES1_C162R303.txt,8.163072229,52.32637491,499,274,0,0,2017,10,15,,data/crops/499_2017.json
76,daily_mean_RES1_C58R466.txt,6.706671393,50.84196983,506,274,0,0,2018,10,21,,data/crops/506_2018.json
77,daily_mean_RES1_C58R466.txt,6.706671393,50.84196983,506,274,0,0,2016,10,15,,data/crops/506_2016.json
78,daily_mean_RES1_C57R466.txt,6.69756041,50.84458248,507,274,0,0,2019,10,20,,data/crops/507_2019.json
79,daily_mean_RES1_C58R468.txt,6.714371892,50.83172963,508,274,0,0,2020,10,18,,data/crops/508_2020.json
80,daily_mean_RES1_C58R468.txt,6.714371892,50.83172963,508,274,0,0,2017,10,20,,data/crops/508_2017.json
81,daily_mean_RES1_C105R305.txt,7.327622688,52.30662191,572,274,0,0,2016,10,6,,data/crops/572_2016.json
