X-coord,Y-coord,field_id,year,10,12,15,18,19,21,24,total_yield,simulated,,,,Sow_Y,Sow_M,Sow_D
51.3358849,13.10070176,2,2019,,,,,,,,7270,3720.8,,,,,,
51.3358849,13.10070176,2,2016,,,,,,,,10015,4641.2,,,,,,
53.06243,11.75081,3,2018,,,,,,,,4740,5174.4,,,,,,
49.471273,10.839829,4,2018,,,,,,,,7100,3074.6,,,,,,
49.082415,12.002205,5,2018,,,,,,,,8115,5350.6,,,,,,
52.775553,13.921776,8,2018,,,,,,,,2800,1670.6,,,,,,
51.779996,13.279261,10,2016,,,,,,,,4264,5339.1,,,,,,
53.932112,12.58304,12,2017,,,,,,,,3300,983.2,,,,,,
53.753681,13.227606,15,2019,,,,,,,,7731,5825.9,,,,,,
53.753681,13.227606,15,2016,,,,,,,,8567,7326.5,,,,,,
52.28051,12.53627,16,2019,,,,,,,,7442,5815.2,,,,,,
52.28051,12.53627,16,2017,,,,,,,,4244,3312,,,,,,
52.7674,8.7646,18,2018,,,,,,,,8600,3257.8,,,,,,
52.767,8.7526,19,2019,,,,,,,,9350,5029,,,,,,
49.18456,7.32528,22,2018,,,,,,,,8300,2701.5,,,,,,
49.18456,7.32528,22,2016,,,,,,,,8200,3465.1,,,,,,
53.12736014,11.15714522,23,2019,,,,,,,,10490,3883,,,,,,
53.12736014,11.15714522,23,2016,,,,,,,,8400,7184.5,,,,,,
53.13451109,11.1480841,24,2019,,,,,,,,9330,4143.3,,,,,,
53.13451109,11.1480841,24,2018,,,,,,,,8070,4482.2,,,,,,
53.753271,10.589314,25,2019,,,,,,,,9200,3828.6,,,,,,
51.56218,11.77021,27,2017,,,,,,,,5274,5938.5,,,,,,
51.55199,11.79681,28,2018,,,,,,,,4741,3396.5,,,,,,
51.55199,11.79681,28,2017,,,,,,,,3200,6338.6,,,,,,
50.25119,10.290973,30,2017,,,,,,,,5350,4146.9,,,,,,
51.036809,6.732818,40,2019,,,,,,,,8300,6867.6,,,,,,
53.58930297,13.32582192,41,2019,,,,,,,,8700,5272.3,,,,,,
52.388151,14.059798,43,2018,,,,,,,,7501,5439.2,,,,,,
52.45801,14.054079,44,2018,,,,,,,,6540,5895.3,,,,,,
54.05211276,12.1598719,45,2017,,,,,,,,4586,5748.4,,,,,,
52.9412727,9.132432,46,2019,,,,,,,,8190,4382.5,,,,,,
52.9412727,9.132432,46,2018,,,,,,,,8330,4126,,,,,,
52.9412727,9.132432,46,2017,,,,,,,,7310,2887.4,,,,,,
50.33433,8.13189,55,2020,,,,,,,,8423,6872.9,,,,,,
50.33433,8.13189,55,2016,,,,,,,,7650,5848.7,,,,,,
50.42544752,11.90896996,56,2020,,,,,,,,7459,8823.8,,,,,,
50.42544752,11.90896996,56,2016,,,,,,,,9191,6907.8,,,,,,
50.43329333,11.86338449,57,2016,,,,,,,,10669,7301.6,,,,,,
50.44570516,11.8874782,58,2018,,,,,,,,9272,6041.9,,,,,,
50.39896648,11.83976202,60,2019,,,,,,,,6410,6035.8,,,,,,
50.42451337,11.7659617,61,2018,,,,,,,,7005,4279.6,,,,,,
50.44258089,11.78126274,62,2017,,,,,,,,9108,6254.5,,,,,,
50.44639579,11.78018012,63,2017,,,,,,,,9122,6603.3,,,,,,
50.44786652,11.76408515,64,2020,,,,,,,,7949,5848,,,,,,
50.44786652,11.76408515,64,2017,,,,,,,,8703,5906.8,,,,,,
50.41120154,11.7319047,65,2017,,,,,,,,8042,6790.3,,,,,,
50.76675109,10.99276978,66,2019,,,,,,,,8507,7466.6,,,,,,
51.0550943,10.25867584,67,2019,,,,,,,,7981,6135.1,,,,,,
51.0550943,10.25867584,67,2018,,,,,,,,9296,3876.8,,,,,,
51.0550943,10.25867584,67,2017,,,,,,,,8733,4862.4,,,,,,
53.185907,12.33156,72,2018,,,,,,,,4024,6617.2,,,,,,
53.199833,12.395452,102,2019,,,,,,,,6889,6433.2,,,,,,
51.03552,6.73079,133,2020,,,,,,,,9135,6899.5,,,,,,
51.03552,6.73079,133,2017,,,,,,,,8050,7321.7,,,,,,
51.99828897,12.89084527,134,2018,,,,,,,,5076,4863.8,,,,,,
51.99828897,12.89084527,134,2016,,,,,,,,7132,6084.8,,,,,,
51.99569264,12.86172828,135,2018,,,,,,,,5763,4683.5,,,,,,
51.99569264,12.86172828,135,2016,,,,,,,,8381,5642.4,,,,,,
51.98617372,12.83844773,137,2017,,,,,,,,5041,3426.1,,,,,,
51.9840288,12.83562961,138,2017,,,,,,,,5140,3216.3,,,,,,
51.97721383,12.84334533,139,2018,,,,,,,,5365,4323.6,,,,,,
51.97721383,12.84334533,139,2016,,,,,,,,7724,6103.2,,,,,,
51.96125495,12.87224106,140,2018,,,,,,,,4921,5356.8,,,,,,
51.96125495,12.87224106,140,2016,,,,,,,,7057,4753.9,,,,,,
51.94785999,12.90693137,141,2018,,,,,,,,5601,4416.7,,,,,,
51.94785999,12.90693137,141,2016,,,,,,,,7262,5355.6,,,,,,
51.98939671,12.90178679,142,2017,,,,,,,,4718,3756.8,,,,,,
51.98757244,12.9108196,143,2018,,,,,,,,5750,5717.4,,,,,,
51.98216122,12.88735672,144,2017,,,,,,,,4500,4035.1,,,,,,
53.02665816,8.515850316,474,2018,,,,,,,,6500,4916.3,,,,,,
52.97461601,8.498544521,475,2019,,,,,,,,6900,4871.6,,,,,,
52.97461601,8.498544521,475,2016,,,,,,,,7050,5943.2,,,,,,
51.95598727,10.64631926,488,2020,,,,,,,,8600,1812.4,,,,,,
51.9595686,10.64113388,489,2020,,,,,,,,8200,6629.2,,,,,,
52.32637491,8.163072229,499,2017,,,,,,,,3300,1691.5,,,,,,
50.84196983,6.706671393,506,2018,,,,,,,,11000,3702.7,,,,,,
50.84196983,6.706671393,506,2016,,,,,,,,9460,4422.8,,,,,,
50.84458248,6.69756041,507,2019,,,,,,,,9600,5138.2,,,,,,
50.83172963,6.714371892,508,2020,,,,,,,,9200,5834.6,,,,,,
50.83172963,6.714371892,508,2017,,,,,,,,9600,7652.5,,,,,,
52.30662191,7.327622688,572,2016,,,,,,,,9240,5531.1,,,,,,
